,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,sum
Smart,3,20,24,17,27,34,32,27,34,41,259
Fading,44,35,39,31,24,28,18,19,13,7,258
Transfer,7,8,7,11,19,31,44,24,45,61,257
Spatial,17,22,32,30,21,34,19,24,26,30,255
Service,16,33,34,26,37,22,26,31,12,17,254
Source,27,27,35,24,24,28,30,16,21,19,251
Compressed,32,35,36,20,40,28,19,17,16,8,251
Process,21,32,26,39,23,29,17,19,21,23,250
Planning,7,10,38,22,29,27,16,41,27,32,249
system,25,23,24,36,27,31,21,23,24,14,248
Fuzzy,18,36,32,39,34,32,23,16,10,7,247
Sets,27,24,30,27,29,38,20,18,20,13,246
Broadcast,33,30,38,34,18,18,26,21,17,11,246
Face,3,26,21,9,19,22,26,26,48,45,245
Scalable,12,14,13,17,28,32,31,43,21,34,245
Simulation,16,34,26,22,31,19,20,32,22,22,244
Complex,22,22,33,18,22,30,21,24,27,24,243
Verification,20,28,26,22,32,35,13,16,26,25,243
Distribution,26,22,22,35,23,25,24,25,21,19,242
Flow,20,19,25,27,18,13,25,28,33,33,241
Features,5,4,21,15,10,25,30,53,46,31,240
Internet,23,24,20,17,27,21,24,30,28,25,239
Computational,30,24,27,20,22,38,17,23,21,16,238
Programs,19,39,27,24,22,29,20,23,17,17,237
Massive,2,3,4,4,18,31,56,41,43,34,236
Quality,16,23,13,19,35,34,23,26,25,22,236
information,35,27,32,25,26,24,32,9,13,13,236
Signal,18,18,29,23,32,39,23,17,22,14,235
Automated,16,19,23,18,27,19,15,27,40,29,233
Query,15,31,33,24,22,14,19,25,28,20,231
Domain,12,15,17,16,17,30,21,29,36,36,229
Spectral,17,16,21,16,20,28,32,25,28,26,229
Reduction,18,23,32,25,27,26,28,19,16,13,227
or,12,23,22,24,25,26,17,28,31,18,226
Synthesis,7,19,21,24,11,19,21,35,40,29,226
Constraint,30,30,37,27,20,22,24,11,18,7,226
Understanding,11,10,11,9,14,20,31,36,37,47,226
Reasoning,19,15,24,17,49,25,21,16,18,21,225
Code,21,31,16,15,23,20,28,25,30,15,224
linear,29,14,25,22,25,32,23,20,17,17,224
Recovery,18,30,27,34,29,16,18,23,16,13,224
Identification,8,20,19,16,25,26,19,26,39,25,223
Storage,14,27,26,29,26,20,30,20,16,14,222
Discrete,16,29,26,29,35,16,28,13,20,10,222
Maximum,20,23,26,21,25,23,32,18,19,14,221
Processes,13,19,23,37,34,22,15,19,24,15,221
Support,16,33,25,20,31,24,26,15,11,19,220
Comparison,10,20,16,27,35,23,16,28,29,16,220
Collaborative,26,30,14,30,21,24,15,22,17,21,220
Low,18,28,13,30,26,17,23,13,25,26,219
Development,7,25,25,39,25,32,15,13,23,15,219
Translation,6,1,4,3,10,13,24,41,59,57,218
Extended,7,27,26,13,28,30,17,29,19,21,217
Polynomial,28,30,28,22,25,24,27,16,9,8,217
Representations,9,4,10,13,22,22,26,32,37,42,217
Solving,19,20,45,22,23,19,17,26,15,10,216
Function,17,30,30,29,23,16,21,19,19,12,216
Unsupervised,5,5,3,7,13,10,25,31,54,63,216
Minimum,27,31,27,29,29,29,12,13,10,8,215
Ad,28,54,34,33,14,14,8,9,13,7,214
Path,14,16,22,21,20,23,26,24,21,27,214
Construction,29,30,15,26,32,23,11,23,15,10,214
Technique,13,38,21,41,33,21,17,13,7,9,213
Reconstruction,14,17,14,24,22,15,22,19,43,23,213
Real-Time,13,26,22,15,16,25,20,25,23,27,212
Localization,6,19,12,14,22,16,25,34,39,23,210
Alignment,22,21,21,23,23,24,17,20,19,19,209
Dynamics,14,19,23,17,24,28,12,26,28,17,208
In,22,31,13,28,26,23,26,18,11,9,207
Delay,33,22,13,20,33,12,23,19,18,14,207
Trees,23,22,15,23,22,19,29,18,18,17,206
Partial,20,27,29,21,26,17,20,18,17,11,206
Sharing,14,22,30,15,28,18,28,22,23,6,206
Recurrent,1,2,1,3,9,10,34,57,48,41,206
Compression,20,20,24,20,27,20,17,17,21,20,206
Semantics,15,35,29,21,20,24,12,19,16,14,205
Traffic,17,17,17,22,19,24,17,24,27,20,204
Impact,10,31,21,19,23,24,22,14,18,21,203
Discovery,15,22,10,28,22,20,34,18,22,11,202
Weighted,18,31,17,23,17,17,27,18,18,15,201
problems,26,24,22,20,19,23,21,17,15,13,200
Extraction,11,19,13,30,20,17,20,19,26,25,200
Lower,25,22,19,28,26,18,23,18,14,6,199
models,13,18,23,22,12,26,21,19,24,21,199
Word,5,7,5,11,9,14,17,48,47,35,198
Small,12,11,16,17,20,23,33,25,24,17,198
Active,8,23,14,17,18,22,23,19,29,25,198
Pattern,18,19,25,18,25,24,17,15,17,18,196
Results,16,25,27,26,26,16,20,18,14,8,196
Structured,9,19,21,24,13,24,27,15,28,16,196
are,26,18,15,24,13,20,19,25,16,19,195
Vector,12,33,19,15,19,25,26,16,14,16,195
Schemes,21,22,24,22,21,24,23,14,19,5,195
Services,18,30,18,23,26,20,23,14,13,10,195
detection,16,9,13,17,26,21,28,25,21,19,195
Beamforming,18,26,15,11,36,24,21,14,18,12,195
Decomposition,21,16,15,15,18,27,35,17,16,15,195
Region,19,26,31,18,23,18,13,21,15,10,194
Natural,12,11,8,19,14,24,20,15,36,35,194
Languages,25,22,28,18,20,18,16,19,16,12,194
Noise,11,13,19,19,31,23,18,23,17,19,193
Convex,14,10,22,23,20,29,27,19,14,15,193
Artificial,18,27,20,15,16,20,20,15,24,18,193
Content,15,18,10,22,11,22,18,24,19,33,192
Properties,20,22,24,20,20,21,29,17,14,5,192
Strategies,19,23,22,22,23,26,16,18,14,9,192
Protocols,23,35,32,21,24,16,18,4,6,12,191
Efficiency,11,11,20,19,24,25,24,29,15,13,191
Deterministic,27,33,19,23,12,15,20,12,19,11,191
Environments,18,16,16,15,19,11,15,19,31,30,190
time,18,16,14,18,20,26,21,17,21,18,189
Proceedings,15,26,29,21,23,25,19,18,10,3,189
Generative,1,2,3,3,6,5,9,17,68,74,188
Global,24,23,19,6,19,17,19,23,19,18,187
Queries,13,14,21,28,20,21,29,13,12,16,187
without,20,13,25,16,16,26,15,15,21,19,186
Compressive,20,17,25,22,24,21,24,14,12,7,186
Group,10,33,19,15,21,14,23,18,17,15,185
Computer,18,19,21,16,19,20,15,22,19,16,185
Challenges,7,10,10,18,16,23,20,25,29,27,185
Single,22,14,9,10,19,20,21,17,24,28,184
Bound,25,19,27,26,17,19,13,15,20,2,183
Formal,9,23,33,20,16,23,14,27,11,7,183
Finding,22,16,21,15,31,23,17,10,18,10,183
Detecting,6,23,13,13,11,16,17,27,31,26,183
Differential,11,12,24,25,14,20,23,17,20,17,183
study,15,13,18,32,17,12,21,26,14,13,181
Review,7,11,9,24,17,28,19,27,19,20,181
Geometric,20,30,18,10,22,13,13,13,23,19,181
Cost,4,17,19,32,25,17,20,22,10,14,180
control,21,11,16,18,26,22,20,20,9,17,180
Key,14,35,26,23,16,23,13,7,10,12,179
Open,14,19,18,12,15,16,17,24,16,28,179
Speech,3,6,6,7,23,13,22,26,35,38,179
Constrained,13,18,17,15,26,19,18,22,17,13,178
Environment,21,15,12,21,16,22,19,12,18,22,178
Interactive,12,18,17,17,14,17,18,20,15,30,178
Fusion,4,29,15,11,16,10,15,16,25,36,177
Patterns,19,22,21,19,12,23,21,12,15,13,177
Probability,10,18,20,23,39,19,21,9,11,7,177
Belief,14,12,16,25,61,11,14,8,10,4,175
Attacks,14,24,11,13,14,7,12,20,22,38,175
Workshop,14,23,21,15,18,27,16,23,12,5,174
Mechanism,8,15,30,25,18,23,13,12,11,19,174
Large-Scale,7,4,13,15,14,15,31,31,24,20,174
Minimization,17,23,19,16,16,20,20,14,20,9,174
&,10,20,17,29,12,24,12,18,10,21,173
Evolution,6,14,27,18,26,19,17,17,18,11,173
Perspective,15,11,11,15,14,13,28,27,21,18,173
Grid,19,19,22,15,18,22,16,16,9,16,172
image,11,11,13,21,15,13,18,25,28,17,172
Kernel,10,13,15,14,23,20,21,21,19,16,172
Propagation,18,21,20,28,21,14,13,13,12,12,172
Media,4,4,7,12,14,22,24,31,32,21,171
Motion,5,9,4,7,11,12,19,29,42,33,171
Virtual,9,19,15,16,20,20,14,28,14,16,171
Research,15,13,7,15,19,22,22,27,21,10,171
Iterative,19,12,17,20,30,13,19,17,17,7,171
Sequences,16,19,20,18,25,17,15,16,17,8,171
Streaming,8,14,13,19,24,26,18,18,13,18,171
Entropy,21,18,16,22,21,25,17,9,9,12,170
Effective,12,19,19,24,12,12,20,16,20,16,170
Modelling,14,24,18,15,15,28,16,17,10,13,170
Embedding,5,6,11,8,9,9,34,19,39,29,169
Similarity,14,13,13,21,24,11,12,20,24,17,169
LDPC,22,35,29,26,11,16,9,6,9,5,168
Checking,17,17,21,19,12,20,22,13,15,11,167
Matrices,17,24,10,22,22,17,24,16,11,4,167
Block,13,17,19,24,12,21,18,23,9,10,166
Frequency,8,19,17,17,20,22,21,21,15,6,166
Nonlinear,11,14,12,14,13,21,15,15,32,19,166
Stability,18,21,18,14,21,14,16,12,17,15,166
into,10,22,19,11,15,13,20,20,12,23,165
Throughput,16,23,14,14,20,25,18,12,10,13,165
Comparative,8,22,13,26,22,18,11,16,17,12,165
Practical,8,11,22,12,24,19,16,17,14,20,163
Message,19,15,18,17,20,21,18,18,9,7,162
Continuous,9,6,7,19,18,20,22,22,20,19,162
OFDM,8,25,24,20,15,24,13,15,8,9,161
Exact,18,17,21,24,19,16,13,9,19,5,161
Metric,16,9,16,22,23,12,15,15,18,15,161
Number,19,27,16,18,15,17,20,12,11,6,161
Maximization,9,8,18,22,14,16,19,24,18,13,161
Point,11,12,15,13,15,15,15,18,20,26,160
Bounded,23,25,16,19,16,15,17,13,6,10,160
Regression,6,6,8,12,19,17,18,24,26,24,160
Sequential,11,18,16,15,18,18,17,8,21,18,160
their,15,12,17,19,17,19,15,21,15,9,159
Class,14,11,24,16,25,13,14,13,16,12,158
Order,11,17,27,19,11,11,20,14,15,13,158
Scale,8,14,12,11,16,12,27,14,12,32,158
Exploiting,7,9,14,14,17,15,26,26,18,12,158
Strategy,11,25,12,32,15,13,9,17,14,9,157
neural,7,7,2,6,10,5,13,25,46,35,156
applications,22,17,14,20,17,12,18,22,7,7,156
Hoc,22,39,30,21,11,11,5,7,6,3,155
Adaptation,10,10,3,15,15,12,9,27,23,31,155
Authentication,15,24,19,20,21,14,14,9,8,11,155
Genetic,14,24,14,27,21,16,7,8,10,13,154
framework,13,9,15,15,18,16,15,23,13,17,154
Predicting,2,9,11,3,18,15,23,24,20,29,154
Uncertainty,8,10,15,16,29,12,16,11,18,19,154
Behavior,13,15,9,11,20,24,18,13,15,15,153
Machines,10,24,14,13,18,20,12,16,8,18,153
Consensus,9,14,21,13,18,13,20,17,13,15,153
Filtering,12,11,18,17,16,15,10,17,18,19,153
Phase,6,11,12,14,26,19,14,21,11,18,152
Boolean,13,17,39,12,13,16,17,8,13,4,152
Context,10,13,14,7,22,9,13,22,17,25,152
Through,8,15,16,13,21,25,11,17,14,12,152
Sequence,10,12,10,8,12,20,10,22,22,26,152
Solution,12,11,27,18,18,20,14,10,12,10,152
Structures,19,23,14,12,20,11,10,18,14,11,152
estimation,11,17,11,8,16,16,16,22,20,15,152
Optical,12,12,12,9,15,15,21,20,21,14,151
Secrecy,23,18,14,16,21,12,15,7,14,10,150
Version,7,17,14,11,18,18,14,22,17,12,150
Empirical,7,19,12,15,20,11,18,18,17,13,150
Monitoring,4,13,20,10,20,16,15,20,18,14,150
Edge,7,12,9,19,7,9,12,20,29,25,149
performance,17,16,12,25,15,23,9,12,11,9,149
Evolutionary,16,7,28,14,22,9,8,8,22,15,149
Noisy,16,17,13,18,16,10,14,16,13,15,148
Algebraic,24,23,21,17,14,15,11,14,4,5,148
Event,8,14,7,11,15,10,16,23,27,16,147
Action,2,5,4,3,10,13,20,30,39,21,147
random,21,27,19,15,15,17,10,11,7,5,147
Community,11,5,13,17,21,17,17,19,14,13,147
Coded,6,21,11,16,14,16,21,13,12,16,146
Rules,15,22,23,20,15,9,8,12,10,12,146
Theorem,24,17,21,10,9,19,17,9,10,10,146
application,16,17,12,19,12,8,21,16,15,10,146
Robot,8,10,12,9,10,11,10,25,21,29,145
Universal,14,16,20,21,13,15,12,14,9,11,145
Latent,3,7,7,18,12,17,13,20,29,18,144
Embeddings,1,4,6,5,2,5,17,27,43,34,144
Randomized,19,11,22,12,15,16,13,16,8,12,144
Engineering,7,17,13,14,22,16,13,15,8,19,144
Link,12,23,23,22,12,11,5,10,12,13,143
Twitter,1,4,10,12,13,21,29,19,17,17,143
Diversity,11,18,23,19,13,12,15,11,12,9,143
Symmetric,19,19,17,10,15,12,14,5,19,12,142
Convergence,17,13,17,13,16,9,19,14,14,10,142
Combinatorial,20,16,11,22,12,16,20,9,10,6,142
What,8,11,12,10,11,11,22,17,19,20,141
Counting,13,21,14,15,11,13,14,12,16,12,141
Generating,14,12,15,12,13,13,11,13,18,20,141
Interaction,15,21,7,8,15,18,14,16,17,10,141
Characterization,7,18,16,18,16,18,12,13,10,13,141
Downlink,10,15,20,12,12,13,11,21,16,10,140
Combining,13,6,11,13,14,10,17,22,12,22,140
Databases,21,13,18,18,12,14,10,18,10,6,140
Ranking,12,11,12,15,10,11,21,14,15,18,139
Signals,9,8,16,13,21,9,20,16,18,9,139
Tool,10,12,16,15,9,19,13,15,23,6,138
Proof,17,22,7,15,15,11,10,14,16,11,138
Method,12,17,9,26,17,13,13,10,10,11,138
Limited,14,18,18,6,19,20,12,12,10,9,138
Correlated,26,15,20,16,13,13,9,8,10,8,138
Multiuser,14,18,19,15,14,13,16,13,8,7,137
Faster,13,14,8,21,11,21,13,11,14,10,136
Mapping,8,12,7,11,18,13,15,13,15,24,136
Enhanced,13,7,13,21,10,21,13,14,10,14,136
Influence,3,11,12,17,25,16,17,11,15,9,136
Architectures,8,11,11,6,9,17,17,19,16,22,136
Decentralized,7,12,16,20,18,14,8,16,8,17,136
Attention,1,1,4,1,5,3,8,34,38,40,135
efficient,10,9,19,23,18,12,10,9,17,8,135
The,10,24,6,15,18,19,15,10,12,5,134
Over,13,11,16,13,16,17,13,17,10,8,134
Attack,10,12,16,15,6,19,13,14,9,20,134
Modulation,11,10,17,12,19,16,17,10,13,9,134
Exploration,12,8,2,13,5,18,7,18,26,25,134
bounds,14,21,15,11,10,16,16,8,7,15,133
Physical,17,12,5,12,16,9,12,21,17,12,133
functions,16,19,21,10,21,11,15,9,6,5,133
Value,9,10,23,13,19,12,11,9,12,14,132
graph,21,15,5,23,13,14,13,9,10,8,131
Beyond,12,8,9,10,13,16,12,17,18,16,131
Planar,19,17,17,16,11,9,11,9,11,11,131
Policy,1,13,10,19,9,10,11,17,19,22,131
Harvesting,1,9,7,11,11,20,23,24,15,10,131
--,10,18,12,9,19,20,10,16,8,8,130
Task,5,5,7,10,12,10,8,11,36,26,130
Polar,5,13,9,14,20,12,20,11,19,7,130
Unified,9,16,7,5,11,8,20,22,13,19,130
Transform,10,21,12,17,20,12,12,8,9,9,130
Dense,4,12,4,13,5,11,19,13,26,22,129
Users,6,12,6,21,13,18,12,12,15,14,129
Common,11,17,19,14,16,10,10,8,13,11,129
Strong,18,11,15,19,13,12,11,8,10,12,129
classification,11,2,8,14,11,13,12,19,21,18,129
Rank,10,16,14,11,11,20,18,9,11,8,128
Part,14,9,17,16,10,13,11,15,14,8,127
logic,19,14,24,14,11,12,8,14,8,3,127
design,9,18,15,16,16,13,11,11,8,10,127
Program,14,14,19,7,9,10,10,18,15,10,126
Science,18,5,9,8,13,15,21,17,11,9,126
Sources,16,18,14,16,10,16,8,8,11,9,126
Database,12,12,15,17,14,14,12,10,11,9,126
Relaying,8,7,15,19,18,21,17,9,9,3,126
Supervised,4,8,7,4,10,10,14,17,30,22,126
case,16,15,12,14,13,13,9,17,8,8,125
Private,4,9,13,9,7,11,12,16,20,24,125
Asynchronous,14,13,17,10,15,12,12,14,8,10,125
Toward,9,9,10,12,12,12,14,13,17,16,124
Optimizing,10,7,10,16,13,19,12,14,14,9,124
Cell,11,13,3,7,14,18,21,17,6,13,123
Real,13,17,11,15,10,11,13,14,7,12,123
social,4,7,10,11,22,26,12,16,9,6,123
Location,10,17,11,14,16,11,8,11,15,10,123
Analyzing,7,13,6,12,12,19,17,5,17,15,123
Exploring,3,8,8,10,8,11,13,13,23,26,123
Algorithmic,19,12,20,10,11,16,14,8,4,9,123
Correlation,8,8,10,10,15,12,10,20,19,11,123
Can,11,9,10,6,11,8,18,17,15,17,122
that,11,13,12,12,13,14,16,9,13,9,122
Stable,7,16,14,14,18,15,14,3,10,11,122
finite,14,7,16,9,15,15,14,9,11,12,122
number,15,24,11,19,8,13,10,7,10,5,122
Functional,6,14,15,17,13,9,9,16,11,12,122
Aggregation,3,5,7,21,13,15,11,13,14,20,122
communication,18,23,15,15,7,14,13,9,6,2,122
es,6,13,13,13,17,11,13,10,15,10,121
Regular,16,20,12,10,12,17,13,8,8,5,121
Geometry,11,8,12,9,9,14,11,11,16,20,121
Integration,5,14,19,12,9,12,10,12,14,14,121
Intelligent,8,13,17,15,12,7,11,5,17,16,121
